episode,return,return_ma50
625,91.9110,50.8442
626,62.1601,51.2633
627,40.9997,50.8968
628,108.5973,52.8864
629,50.7693,52.8159
630,50.4629,52.7400
631,72.3084,53.3515
632,80.7129,54.1806
633,60.4260,54.3643
634,39.7568,53.9469
635,11.3279,52.7631
636,31.3037,52.1831
637,71.8495,52.7006
638,71.0403,53.1709
639,10.1218,52.0947
640,0.5687,50.8379
641,82.3240,51.5876
642,8.9614,50.5963
643,80.9128,51.2853
644,91.0564,52.1691
645,111.0436,53.4490
646,71.2109,53.8269
647,41.7074,53.5744
648,100.2720,54.5274
649,41.5490,54.2679
650,50.3966,54.8658
651,79.5382,55.4348
652,51.3429,55.6517
653,102.7382,56.0289
654,50.4044,56.0087
655,51.2900,56.0077
656,41.3664,56.6397
657,71.8800,57.2370
658,40.9002,57.0402
659,120.7401,58.2148
660,40.7908,57.8281
661,82.0204,58.2573
662,62.3275,58.8980
663,72.6188,59.0900
664,48.6177,59.6245
665,69.9636,59.5863
666,10.1958,58.7957
667,50.6055,59.0031
668,62.0834,59.6222
669,93.3152,60.6464
670,61.2015,60.6705
671,61.5608,60.0862
672,71.0968,61.2739
673,71.8618,61.8726
674,50.1562,61.0473
675,10.8473,59.4261
676,90.4689,59.9922
677,118.4666,61.5416
678,70.1369,60.7724
679,52.3028,60.8030
680,60.9067,61.0119
681,61.7848,60.8014
682,92.8909,61.0450
683,52.2274,60.8810
684,101.2673,62.1112
685,70.2299,63.2893
686,39.7668,63.4585
687,81.1495,63.6445
688,72.3153,63.6700
689,40.7087,64.2818
690,102.5500,66.3214
691,92.4706,66.5243
692,9.2073,66.5293
693,71.1238,66.3335
694,100.5850,66.5240
695,81.0363,65.9239
696,91.6919,66.3335
697,81.5849,67.1311
698,79.9574,66.7248
699,112.4301,68.1424
700,102.8230,69.1909
701,89.0793,69.3817
702,50.8990,69.3729
703,51.3333,68.3448
704,61.9787,68.5763
705,110.3602,69.7577
706,78.9342,70.5090
707,40.8033,69.8875
708,63.6668,70.3428
709,49.6253,68.9205
710,41.1818,68.9283
711,98.7936,69.2638
712,40.2926,68.8231
713,51.3108,68.3969
714,19.0884,67.8064
715,100.8697,68.4245
716,110.7998,70.4366
717,61.9019,70.6625
718,51.9872,70.4606
719,52.4569,69.6434
720,81.6670,70.0527
721,72.6193,70.2739
722,71.7366,70.2867
723,58.6132,70.0217
724,72.0065,70.4587
725,91.6840,72.0754
726,51.2153,71.2904
727,49.7475,69.9160
728,112.8900,70.7711
729,91.6206,71.5574
730,60.5608,71.5505
731,70.2551,71.7199
732,72.2537,71.3072
733,82.7992,71.9186
734,61.3001,71.1192
735,101.1170,71.7370
736,69.8193,72.3380
737,90.5418,72.5259
738,71.1519,72.5026
739,8.8791,71.8660
740,92.4725,71.6645
741,109.5267,72.0056
742,59.3103,73.0077
743,127.6421,74.1380
744,41.4069,72.9545
745,50.4609,72.3429
746,39.6992,71.3031
747,92.7078,71.5256
748,59.4629,71.1157
749,89.4184,70.6554
750,40.7168,69.4133
751,70.3634,69.0390
752,60.4935,69.2309
753,82.2895,69.8500
754,61.6288,69.8430
755,91.3541,69.4629
756,100.6389,69.8970
757,100.6036,71.0930
758,89.2370,71.6044
759,81.5502,72.2429
760,90.7000,73.2332
761,60.8017,72.4734
762,40.9748,72.4871
763,69.7010,72.8549
764,101.5903,74.5049
765,31.7542,73.1226
766,82.4437,72.5555
767,93.2023,73.1815
768,60.1092,73.3439
769,81.4310,73.9234
770,60.6075,73.5022
771,91.8310,73.8864
772,90.7101,74.2659
773,99.8855,75.0914
774,49.6549,74.6443
775,59.9738,74.0101
776,100.8586,75.0030
777,89.7019,75.8021
778,82.4084,75.1924
779,20.4594,73.7692
780,109.5089,74.7482
781,71.6373,74.7758
782,81.5272,74.9613
783,122.8911,75.7631
784,48.9520,75.5162
785,123.4170,75.9622
786,60.7453,75.7807
787,90.3991,75.7778
788,101.1854,76.3785
789,91.5577,78.0321
790,60.4887,77.3924
791,70.9894,76.6217
792,113.3339,77.7021
793,59.9952,76.3492
794,82.3546,77.1681
795,70.1612,77.5622
796,70.5487,78.1791
797,81.3418,77.9518
798,62.3904,78.0104
799,92.0145,78.0623
800,101.9447,79.2869
801,81.7411,79.5144
802,69.6007,79.6966
803,71.7593,79.4859
804,61.3985,79.4813
805,71.5157,79.0846
806,104.2467,79.1567
807,102.3169,79.1910
808,122.0982,79.8482
809,81.7141,79.8515
810,50.8259,79.0540
811,93.1546,79.7011
812,89.1942,80.6655
813,81.6642,80.9047
814,93.4741,80.7424
815,42.3830,80.9550
816,70.7790,80.7217
817,121.3369,81.2844
818,111.2736,82.3077
819,40.0773,81.4806
820,70.4117,81.6767
821,109.9907,82.0399
822,50.4446,81.2346
823,30.7192,79.8512
824,20.1420,79.2610
825,21.1699,78.4849
826,62.6536,77.7208
827,60.6578,77.1399
828,61.3313,76.7184
829,8.0049,76.4693
830,38.6460,75.0520
831,57.9460,74.7782
832,70.2968,74.5536
833,39.1181,72.8781
834,9.8383,72.0959
835,28.8724,70.2050
836,10.5723,69.2015
837,28.8788,67.9711
838,-1.7398,65.9126
839,-3.1260,64.0189
840,-4.2874,62.7234
841,-2.7383,61.2488
842,19.0746,59.3637
843,-6.5591,58.0326
844,-2.5021,56.3354
845,8.5135,55.1025
846,49.0523,54.6726
847,-3.3843,52.9780
848,18.6768,52.1038
849,-1.7034,50.2294
850,18.8649,48.5678
851,18.9901,47.3128
