episode,return,return_ma50
353,375.5757,383.0318
354,463.8064,383.7439
355,493.3148,385.1631
356,429.7636,385.0537
357,317.1397,381.3649
358,398.3553,380.2903
359,214.1404,377.0693
360,296.1076,376.7618
361,394.5194,376.0652
362,266.9784,375.4068
363,423.5536,377.0531
364,365.5019,376.6895
365,340.2555,374.0591
366,460.9805,373.5064
367,325.5681,372.5151
368,360.5335,371.0700
369,368.9017,369.3167
370,228.6956,369.6410
371,346.4781,368.6421
372,419.8892,367.9865
373,391.1777,368.7063
374,463.2380,369.7878
375,439.6383,372.5323
376,395.4199,371.1857
377,453.8470,372.7607
378,446.6643,376.8401
379,329.7850,376.8661
380,397.6484,374.9683
381,417.3935,376.4363
382,451.2486,376.5543
383,385.2542,376.6174
384,458.1806,378.2069
385,383.2041,376.3986
386,444.0993,376.7569
387,225.5234,372.1589
388,351.8288,371.0093
389,460.7167,375.2023
390,279.0195,371.2852
391,445.2335,372.3169
392,412.9202,371.3989
393,331.1948,369.9696
394,409.0016,372.0140
395,434.2870,374.1793
396,381.9947,373.9496
397,489.5999,377.0941
398,284.1797,379.8410
399,371.1256,379.2794
400,427.6172,379.8928
401,439.8455,382.1023
402,441.2720,386.6444
403,217.6908,383.4867
404,455.7197,383.3249
405,410.3642,381.6659
406,329.3592,379.6578
407,473.1674,382.7784
408,435.2010,383.5153
409,457.6029,388.3845
410,237.8696,387.2198
411,413.2600,387.5946
412,365.3491,389.5620
413,460.5258,390.3015
414,449.4103,391.9796
415,401.0775,393.1961
416,303.0718,390.0379
417,406.7006,391.6605
418,368.8425,391.8267
419,457.5773,393.6002
420,457.1752,398.1698
421,249.2576,396.2254
422,456.9706,396.9670
423,416.9664,397.4828
424,331.7729,394.8535
425,271.3748,391.4882
426,293.6952,389.4537
427,342.5818,387.2284
428,418.9834,386.6748
429,445.0820,388.9808
430,453.6324,390.1004
431,439.2052,390.5367
432,446.5800,390.4433
433,481.4731,392.3677
434,389.5757,390.9956
435,365.5594,390.6427
436,297.6219,387.7131
437,500.4556,393.2118
438,291.6329,392.0079
439,455.7888,391.9093
440,473.9963,395.8089
441,374.7897,394.4000
442,407.2336,394.2862
443,115.6804,389.9760
444,406.4285,389.9245
445,330.3719,387.8462
446,328.0347,386.7670
447,357.2752,384.1205
448,304.1148,384.5192
