episode,return,return_ma50
404,385.6051,365.6880
405,465.3010,372.8157
406,463.8428,377.1150
407,338.4843,376.8159
408,377.7399,376.4584
409,333.2019,374.7177
410,454.4207,375.8487
411,284.9300,377.2342
412,232.9495,376.5874
413,443.4657,376.8846
414,367.6286,376.8605
415,461.0536,376.7109
416,316.8627,374.7605
417,467.1838,377.0842
418,404.0512,379.4981
419,420.6218,381.0796
420,405.2770,380.8471
421,386.2174,380.0406
422,486.2953,382.6544
423,338.7014,380.4782
424,410.3395,382.2325
425,426.2705,382.7436
426,227.7314,381.7371
427,260.8250,379.7729
428,454.0921,379.4873
429,478.1984,379.8209
430,422.8673,382.5110
431,441.3733,382.5122
432,396.1058,382.5968
433,396.9047,382.4479
434,189.7409,378.2612
435,388.8593,382.4587
436,329.8125,382.4613
437,331.4930,380.3015
438,416.7305,379.9782
439,438.1721,379.7509
440,467.9946,380.4498
441,400.7948,379.4408
442,317.3979,378.5495
443,416.7946,377.2199
444,315.0393,374.0650
445,328.5521,376.6079
446,341.0482,377.2963
447,397.6358,377.5925
448,418.1061,378.3318
449,431.9246,379.9628
450,344.6534,379.7592
451,296.3711,381.0011
452,448.0498,383.7647
453,430.6876,383.9680
454,210.9479,380.4749
455,455.6523,380.2819
456,313.9373,377.2838
457,288.5574,376.2852
458,471.3717,378.1579
459,475.9593,381.0130
460,361.9128,379.1629
461,429.7676,382.0596
462,433.8393,386.0774
463,436.3135,385.9344
464,381.1191,386.2042
465,70.2708,378.3885
466,174.4790,375.5408
467,459.8733,375.3946
468,280.6485,372.9266
469,383.5118,372.1844
470,482.2782,373.7244
471,419.5137,374.3903
472,377.3380,372.2112
473,442.1086,374.2793
474,425.8090,374.5887
475,337.1339,372.8060
476,171.4734,371.6808
477,442.5877,375.3161
478,313.7049,372.5083
479,330.2921,369.5502
480,349.3451,368.0798
481,366.4307,366.5809
482,436.6720,367.3922
483,251.2020,364.4782
484,226.0912,365.2052
485,420.6740,365.8415
486,361.4092,366.4734
487,423.5228,368.3140
488,466.2628,369.3047
489,344.3145,367.4275
490,441.0022,366.8877
491,407.7360,367.0265
492,469.9143,370.0768
493,468.5199,371.1113
494,407.9208,372.9690
495,440.1385,375.2007
496,452.2647,377.4250
497,470.3888,378.8801
498,343.1681,377.3813
499,433.1640,377.4061
500,268.9505,375.8920
501,401.6320,377.9973
502,448.8835,378.0139
503,370.6673,376.8135
504,432.3789,381.2421
505,464.5938,381.4210
506,320.3971,381.5502
507,348.4987,382.7490
508,414.4536,381.6106
509,450.5262,381.1020
510,248.8965,378.8416
511,430.2743,378.8518
512,436.5300,378.9056
513,145.1717,373.0828
514,320.2834,371.8660
515,337.3633,377.2079
516,306.5277,379.8489
517,462.5264,379.9019
518,353.6122,381.3612
519,123.8789,376.1685
520,328.6579,373.0961
521,420.4909,373.1157
522,345.4142,372.4772
523,439.1946,372.4189
524,141.6854,366.7365
525,460.5040,369.2039
526,460.9343,374.9931
527,196.1736,370.0648
528,471.8671,373.2280
529,420.0388,375.0230
530,256.2135,373.1603
531,278.2706,371.3971
532,484.2571,372.3488
533,273.9755,372.8043
534,223.9872,372.7622
535,392.1948,372.1926
536,419.3700,373.3519
537,439.2489,373.6664
538,393.1306,372.2037
539,466.8078,374.6536
540,202.1406,369.8764
541,223.5378,366.1924
542,486.0494,366.5151
543,489.5382,366.9355
544,295.7304,364.6917
545,398.1086,363.8511
546,357.4080,361.9539
547,432.7260,361.2007
548,396.2626,362.2626
549,355.3484,360.7062
550,476.7450,364.8621
551,388.2105,364.5937
552,471.0949,365.0379
553,424.4472,366.1135
554,469.8580,366.8631
555,418.2105,365.9355
556,448.8867,368.5052
557,228.8014,366.1113
558,352.2526,364.8673
559,238.4194,360.6251
560,291.3403,361.4740
561,358.8507,360.0456
562,406.7027,359.4490
563,442.9761,365.4051
564,239.8403,363.7962
565,379.4355,364.6377
566,335.3954,365.2150
567,447.3233,364.9110
568,462.8757,367.0962
569,340.1135,371.4209
570,311.8648,371.0851
571,430.7485,371.2902
572,421.4277,372.8105
573,422.8472,372.4835
574,285.8485,375.3668
575,394.8132,374.0530
576,435.4072,373.5424
577,453.6108,378.6912
578,250.7109,374.2681
579,424.6696,374.3607
580,413.4178,377.5048
581,298.1662,377.9027
582,282.4888,373.8673
583,259.4317,373.5764
584,360.7770,376.3122
585,403.3515,376.5354
586,407.8283,376.3045
587,464.9143,376.8178
588,356.1334,376.0779
589,434.9753,375.4413
590,463.8142,380.6747
591,170.4594,379.6132
592,141.9786,372.7317
593,272.7136,368.3953
594,460.3107,371.6869
595,486.5255,373.4552
596,458.4655,375.4763
597,367.2127,374.1661
598,375.9055,373.7589
599,287.3827,372.3996
600,457.7876,457.7876
601,75.8567,266.8222
602,95.4047,209.6830
603,215.3830,211.1080
604,111.6112,191.2086
605,95.6091,175.2754
606,82.2926,161.9921
607,298.9082,179.1066
608,130.6839,173.7263
609,72.0112,163.5548
610,67.9243,154.8611
611,89.9674,149.4533
612,5.0560,138.3458
613,159.5034,139.8571
614,212.2704,144.6847
615,33.6619,137.7457
616,-1.1820,129.5735
617,186.1341,132.7158
618,330.0083,143.0996
619,108.0732,141.3483
620,160.2725,142.2494
621,17.3233,136.5710
622,121.2614,135.9053
623,368.5502,145.5989
624,274.3608,150.7493
625,439.3491,161.8493
626,20.1098,156.5997
627,114.5677,155.0986
628,120.9888,153.9224
629,250.0245,157.1258
630,321.5599,162.4301
631,277.6113,166.0295
632,365.9312,172.0871
633,298.1938,175.7962
634,425.1062,182.9193
635,224.3661,184.0706
636,-2.7131,179.0224
637,303.8203,182.3066
638,312.8711,185.6544
639,23.8394,181.6090
640,252.7090,183.3431
641,133.4340,182.1548
642,62.1348,179.3637
643,312.9187,182.3990
644,322.9291,185.5219
645,152.6861,184.8081
646,33.1740,181.5818
647,67.3455,179.2019
648,408.5534,183.8825
649,329.1577,186.7880
650,277.7075,183.1864
651,-0.6191,181.6569
652,59.1598,180.9320
653,237.7869,181.3801
654,224.3319,183.6345
655,366.2257,189.0468
656,70.1776,188.8045
657,367.6096,190.1786
658,168.5603,190.9361
659,73.9983,190.9758
660,187.3868,193.3651
661,90.1407,193.3686
662,368.6477,200.6404
663,240.6650,202.2636
664,60.8951,199.2361
665,131.6709,201.1963
666,33.2764,201.8855
667,406.3079,206.2889
668,287.7123,205.4430
669,200.9890,207.3013
670,129.1714,206.6793
671,273.4370,211.8016
672,151.1144,212.3987
673,156.1798,208.1512
674,60.4202,203.8724
675,144.8383,197.9822
676,428.4793,206.1496
677,486.8910,213.5961
678,302.4987,217.2263
679,393.0488,220.0868
680,387.1920,221.3994
681,253.0361,220.9079
682,479.4000,223.1773
683,176.3320,220.7400
684,422.8844,220.6956
685,68.9918,217.5881
686,201.4942,221.6723
687,429.3565,224.1830
688,136.5791,220.6571
689,296.6894,226.1141
690,355.5603,228.1712
691,395.4005,233.4105
692,122.0857,234.6095
693,122.4660,230.8005
694,318.4611,230.7111
695,152.6774,230.7109
696,333.6323,236.7201
697,105.7219,237.4876
698,200.0198,233.3170
699,361.9225,233.9722
700,204.8272,232.5146
701,489.1120,242.3093
702,115.2080,243.4302
703,111.8038,240.9106
704,63.2547,237.6890
705,44.8620,231.2617
706,360.3776,237.0657
707,106.1279,231.8361
708,199.2584,232.4501
709,123.8541,233.4472
710,141.6248,232.5320
711,143.2857,233.5949
712,104.7370,228.3166
713,167.3022,226.8494
714,94.5818,227.5231
715,164.3459,228.1766
716,372.2791,234.9567
717,295.2199,232.7349
718,160.1216,230.1831
719,100.8194,228.1797
720,177.2550,229.1414
721,466.6173,233.0050
722,19.9429,230.3815
723,165.5900,230.5698
724,192.0227,233.2018
725,125.8758,232.8225
726,102.9595,226.3122
727,481.4919,226.2042
728,71.6934,221.5881
729,208.1025,217.8891
730,185.8232,213.8618
731,426.6299,217.3336
732,320.0039,214.1457
733,177.4084,214.1672
734,242.4113,210.5578
735,357.6285,216.3305
736,186.4249,216.0291
737,107.3959,209.5899
738,76.1621,208.3816
739,292.3079,208.2940
740,330.0226,207.7832
741,89.0876,201.6569
742,-0.1689,199.2118
743,155.6457,199.8754
744,194.3791,197.3938
745,208.9936,198.5201
746,343.4422,198.7163
747,226.0987,201.1239
748,96.0504,199.0445
749,134.4987,194.4960
750,253.9593,195.4786
751,89.5273,187.4869
752,222.6715,189.6362
753,50.6306,188.4127
754,151.2130,190.1719
755,212.8992,193.5327
756,266.3310,191.6517
757,162.2940,192.7751
758,246.3892,193.7177
759,28.0674,191.8019
760,405.4888,197.0792
